,Unnamed: 0,openTime,closeTime,open,high,low,close,baseVolume,quoteVolume,numTrades,takerBuyBaseVolume,takerBuyQuoteVolume
0,0,2024-02-01 00:00:00+00:00,2024-02-01 00:04:59.999000+00:00,42580.0,42687.63,42573.46,42607.62,159.72134,6808307.4459167,5245,80.86406,3446898.6371633
1,1,2024-02-01 00:05:00+00:00,2024-02-01 00:09:59.999000+00:00,42607.62,42621.82,42582.12,42598.2,94.454,4023615.5068765,3778,46.66713,1987930.2595891
2,2,2024-02-01 00:10:00+00:00,2024-02-01 00:14:59.999000+00:00,42598.19,42605.81,42571.81,42602.29,80.59079,3432080.1765039,2953,35.01474,1491080.9527329
3,3,2024-02-01 00:15:00+00:00,2024-02-01 00:19:59.999000+00:00,42602.3,42602.3,42564.41,42564.42,62.62955,2666765.5596791,2422,14.12163,601235.8651095
4,4,2024-02-01 00:20:00+00:00,2024-02-01 00:24:59.999000+00:00,42564.41,42564.42,42425.03,42425.03,214.06031,9094420.3394719,6434,49.88017,2119018.0616167
5,5,2024-02-01 00:25:00+00:00,2024-02-01 00:29:59.999000+00:00,42425.03,42486.41,42418.74,42486.4,112.59516,4778933.489709,3914,66.68305,2830388.1381285
6,6,2024-02-01 00:30:00+00:00,2024-02-01 00:34:59.999000+00:00,42486.4,42516.67,42436.29,42450.03,88.65297,3764959.2075151,3578,50.08096,2127001.4740918
7,7,2024-02-01 00:35:00+00:00,2024-02-01 00:39:59.999000+00:00,42450.03,42450.04,42305.57,42308.01,114.93643,4870471.6381607,5992,32.63989,1383336.583971
8,8,2024-02-01 00:40:00+00:00,2024-02-01 00:44:59.999000+00:00,42308.01,42395.11,42220.85,42378.97,226.05266,9562250.8888635,7923,119.2081,5044015.2052694
9,9,2024-02-01 00:45:00+00:00,2024-02-01 00:49:59.999000+00:00,42378.97,42467.28,42378.97,42425.99,120.11836,5097503.7798514,5087,76.95509,3265537.0614073
10,10,2024-02-01 00:50:00+00:00,2024-02-01 00:54:59.999000+00:00,42426.0,42510.4,42425.99,42440.39,156.69274,6653445.5455188,5391,113.28865,4810329.5720613
11,11,2024-02-01 00:55:00+00:00,2024-02-01 00:59:59.999000+00:00,42440.4,42500.0,42440.39,42474.95,77.03382,3271467.0999677,3002,50.83056,2158592.2509204
