,Unnamed: 0,openTime,closeTime,open,high,low,close,baseVolume,quoteVolume,numTrades,takerBuyBaseVolume,takerBuyQuoteVolume
0,0,2024-02-01 00:00:00+00:00,2024-02-01 00:04:59.999000+00:00,42560.5,42674.9,42560.5,42595.6,1227.347,52305735.59,14001,779.624,33224924.708
1,1,2024-02-01 00:05:00+00:00,2024-02-01 00:09:59.999000+00:00,42595.7,42612.9,42569.5,42588.1,526.111,22405258.4361,8170,295.423,12580827.9908
2,2,2024-02-01 00:10:00+00:00,2024-02-01 00:14:59.999000+00:00,42588.0,42597.2,42557.4,42590.5,398.202,16952944.5346,6249,200.812,8549471.3786
3,3,2024-02-01 00:15:00+00:00,2024-02-01 00:19:59.999000+00:00,42590.5,42590.6,42548.6,42549.9,413.726,17608171.6116,5551,153.725,6542393.163
4,4,2024-02-01 00:20:00+00:00,2024-02-01 00:24:59.999000+00:00,42549.9,42550.0,42411.0,42413.1,1949.667,82813334.76651,18319,638.685,27128736.2643
5,5,2024-02-01 00:25:00+00:00,2024-02-01 00:29:59.999000+00:00,42413.2,42477.6,42400.7,42472.3,1091.689,46325879.1795,10850,710.01,30132159.3814
6,6,2024-02-01 00:30:00+00:00,2024-02-01 00:34:59.999000+00:00,42472.4,42504.0,42413.4,42429.9,782.841,33234551.5481,10142,322.929,13712861.1858
7,7,2024-02-01 00:35:00+00:00,2024-02-01 00:39:59.999000+00:00,42430.0,42430.0,42278.1,42291.8,1529.854,64795004.70225,19185,423.421,17931138.7861
8,8,2024-02-01 00:40:00+00:00,2024-02-01 00:44:59.999000+00:00,42291.8,42384.4,42201.6,42366.3,2269.939,95990190.8323,26331,1256.448,53143780.18235
9,9,2024-02-01 00:45:00+00:00,2024-02-01 00:49:59.999000+00:00,42366.2,42453.6,42366.2,42409.1,1152.516,48893848.15801,13444,684.084,29021146.06551
10,10,2024-02-01 00:50:00+00:00,2024-02-01 00:54:59.999000+00:00,42409.0,42501.0,42403.5,42425.9,683.287,29009399.5692,9563,432.607,18367563.0653
11,11,2024-02-01 00:55:00+00:00,2024-02-01 00:59:59.999000+00:00,42425.8,42489.7,42425.8,42460.2,422.504,17940734.6435,6512,283.666,12045382.9677
12,12,2024-02-01 01:00:00+00:00,2024-02-01 01:04:59.999000+00:00,42460.1,42467.5,42388.1,42392.0,561.255,23810231.2352,8493,163.861,6952385.2352
13,13,2024-02-01 01:05:00+00:00,2024-02-01 01:09:59.999000+00:00,42392.1,42395.3,42294.7,42328.0,926.355,39222566.86235,10597,292.314,12376263.5033
14,14,2024-02-01 01:10:00+00:00,2024-02-01 01:14:59.999000+00:00,42327.9,42336.2,42236.5,42263.2,889.059,37584026.8275,13075,375.974,15894191.5054
15,15,2024-02-01 01:15:00+00:00,2024-02-01 01:19:59.999000+00:00,42263.3,42265.0,42042.5,42100.5,5332.259,224619890.55371,50579,2167.039,91271725.1248
16,16,2024-02-01 01:20:00+00:00,2024-02-01 01:24:59.999000+00:00,42100.6,42100.6,41928.0,42046.9,5456.939,229276683.6471,48844,2486.051,104462745.3856
17,17,2024-02-01 01:25:00+00:00,2024-02-01 01:29:59.999000+00:00,42046.7,42050.5,41964.5,42008.6,1577.52,66273784.4271,20842,959.184,40297261.9658
18,18,2024-02-01 01:30:00+00:00,2024-02-01 01:34:59.999000+00:00,42008.7,42019.5,41911.7,41997.9,2097.061,87993197.2753,30913,1151.335,48312739.1897
19,19,2024-02-01 01:35:00+00:00,2024-02-01 01:39:59.999000+00:00,41997.8,42000.0,41866.8,41907.9,2178.106,91286350.73643,28647,915.409,38366209.3864
20,20,2024-02-01 01:40:00+00:00,2024-02-01 01:44:59.999000+00:00,41907.9,42090.0,41877.0,42035.2,2059.888,86500544.76204,24216,1379.976,57954159.59734
21,21,2024-02-01 01:45:00+00:00,2024-02-01 01:49:59.999000+00:00,42035.3,42060.0,41965.6,41970.4,948.685,39863065.2905,14737,417.016,17523712.8409
22,22,2024-02-01 01:50:00+00:00,2024-02-01 01:54:59.999000+00:00,41970.5,42015.6,41922.9,41939.9,1054.828,44265480.0783,17925,518.758,21769933.131
23,23,2024-02-01 01:55:00+00:00,2024-02-01 01:59:59.999000+00:00,41939.8,42016.8,41939.4,41969.9,724.189,30405197.7841,12345,410.071,17217941.5686
24,24,2024-02-01 02:00:00+00:00,2024-02-01 02:04:59.999000+00:00,41969.9,42058.8,41940.0,41986.6,965.967,40567079.2662,16096,538.818,22633646.4754
25,25,2024-02-01 02:05:00+00:00,2024-02-01 02:09:59.999000+00:00,41986.5,42037.9,41966.0,42033.4,645.497,27116442.1272,11219,391.587,16449926.6818
26,26,2024-02-01 02:10:00+00:00,2024-02-01 02:14:59.999000+00:00,42033.4,42124.0,42005.0,42099.3,1594.901,67097082.04277,18799,868.664,36547611.39047
27,27,2024-02-01 02:15:00+00:00,2024-02-01 02:19:59.999000+00:00,42099.3,42159.9,42077.8,42155.6,1182.387,49817431.6129,14017,687.697,28975313.9659
28,28,2024-02-01 02:20:00+00:00,2024-02-01 02:24:59.999000+00:00,42155.5,42160.0,42065.4,42065.4,676.342,28487822.9868,8757,195.106,8218675.9706
29,29,2024-02-01 02:25:00+00:00,2024-02-01 02:29:59.999000+00:00,42065.4,42127.8,42028.9,42109.0,818.852,34447697.6156,9961,321.472,13526694.3525
30,30,2024-02-01 02:30:00+00:00,2024-02-01 02:34:59.999000+00:00,42109.0,42157.8,42064.0,42157.8,606.653,25543224.0874,9866,302.918,12756607.4306
31,31,2024-02-01 02:35:00+00:00,2024-02-01 02:39:59.999000+00:00,42157.8,42157.9,42082.6,42105.5,536.77,22603685.9372,7561,237.76,10011939.5748
32,32,2024-02-01 02:40:00+00:00,2024-02-01 02:44:59.999000+00:00,42105.4,42141.2,42081.0,42133.0,335.004,14106436.9332,5681,186.65,7859870.1254
33,33,2024-02-01 02:45:00+00:00,2024-02-01 02:49:59.999000+00:00,42133.0,42136.6,42106.4,42121.3,286.741,12077542.9204,5819,139.076,5857666.1529
34,34,2024-02-01 02:50:00+00:00,2024-02-01 02:54:59.999000+00:00,42121.3,42129.3,42040.0,42071.0,548.867,23091759.674,8107,236.461,9947119.2969
35,35,2024-02-01 02:55:00+00:00,2024-02-01 02:59:59.999000+00:00,42070.9,42171.0,42045.0,42146.6,682.442,28741874.7176,8531,393.769,16583053.7934
36,36,2024-02-01 03:00:00+00:00,2024-02-01 03:04:59.999000+00:00,42146.5,42174.3,42120.3,42133.1,481.432,20292906.4903,7376,269.704,11369291.5287
37,37,2024-02-01 03:05:00+00:00,2024-02-01 03:09:59.999000+00:00,42133.1,42177.4,42128.6,42151.1,384.637,16212799.082,6907,248.058,10455688.612
38,38,2024-02-01 03:10:00+00:00,2024-02-01 03:14:59.999000+00:00,42151.1,42153.0,42088.5,42099.0,369.398,15557604.9332,6514,111.277,4686979.2234
39,39,2024-02-01 03:15:00+00:00,2024-02-01 03:19:59.999000+00:00,42098.9,42100.0,42002.0,42068.8,913.629,38408126.5448,9910,305.702,12851739.3812
40,40,2024-02-01 03:20:00+00:00,2024-02-01 03:24:59.999000+00:00,42068.8,42068.8,42022.5,42036.0,452.348,19017495.3667,7410,216.468,9100772.5386
41,41,2024-02-01 03:25:00+00:00,2024-02-01 03:29:59.999000+00:00,42035.9,42036.0,41970.4,42016.1,700.221,29404165.34724,10934,267.315,11225144.5369
42,42,2024-02-01 03:30:00+00:00,2024-02-01 03:34:59.999000+00:00,42016.0,42021.8,41961.0,41989.2,478.001,20068491.8094,8604,219.61,9220437.3831
43,43,2024-02-01 03:35:00+00:00,2024-02-01 03:39:59.999000+00:00,41989.2,42028.0,41947.0,42028.0,612.943,25730699.7845,8832,314.076,13187271.96
44,44,2024-02-01 03:40:00+00:00,2024-02-01 03:44:59.999000+00:00,42028.0,42115.6,42028.0,42090.0,755.508,31797850.54047,10884,521.935,21966367.25007
45,45,2024-02-01 03:45:00+00:00,2024-02-01 03:49:59.999000+00:00,42090.0,42111.0,42059.0,42066.6,415.167,17473149.2787,7208,188.71,7943247.1851
46,46,2024-02-01 03:50:00+00:00,2024-02-01 03:54:59.999000+00:00,42066.6,42088.2,42012.1,42039.5,439.165,18468470.7718,7081,223.348,9392736.0162
47,47,2024-02-01 03:55:00+00:00,2024-02-01 03:59:59.999000+00:00,42039.5,42039.5,41989.5,41998.0,555.494,23337969.04884,8329,160.751,6754203.2503
48,48,2024-02-01 04:00:00+00:00,2024-02-01 04:04:59.999000+00:00,41998.0,42035.7,41961.0,42009.0,895.529,37602606.6996,12344,483.109,20286186.6723
49,49,2024-02-01 04:05:00+00:00,2024-02-01 04:09:59.999000+00:00,42008.9,42036.1,41990.0,42022.7,378.201,15888840.4888,7801,199.787,8393732.0768
50,50,2024-02-01 04:10:00+00:00,2024-02-01 04:14:59.999000+00:00,42022.7,42022.7,41977.3,42010.7,312.284,13113782.2345,5980,147.581,6197436.3007
51,51,2024-02-01 04:15:00+00:00,2024-02-01 04:19:59.999000+00:00,42010.6,42053.9,42010.6,42033.9,283.815,11930168.1491,6061,171.662,7215712.9618
52,52,2024-02-01 04:20:00+00:00,2024-02-01 04:24:59.999000+00:00,42033.8,42033.8,41982.0,42000.1,437.662,18380571.1418,6572,199.61,8382997.2012
53,53,2024-02-01 04:25:00+00:00,2024-02-01 04:29:59.999000+00:00,42000.0,42039.5,41972.4,42035.8,452.266,18995484.5732,6372,296.387,12448669.6484
54,54,2024-02-01 04:30:00+00:00,2024-02-01 04:34:59.999000+00:00,42035.8,42035.9,41920.0,41941.9,869.563,36483612.8746,10724,238.816,10020647.5686
55,55,2024-02-01 04:35:00+00:00,2024-02-01 04:39:59.999000+00:00,41941.8,42084.0,41877.0,42064.9,1847.438,77564506.72377,21841,944.356,39660318.92274
56,56,2024-02-01 04:40:00+00:00,2024-02-01 04:44:59.999000+00:00,42064.9,42080.0,42024.0,42078.0,569.31,23936440.873,9024,285.173,11989995.6638
57,57,2024-02-01 04:45:00+00:00,2024-02-01 04:49:59.999000+00:00,42078.0,42133.8,42075.0,42104.1,893.588,37624348.05407,12307,546.43,23006791.01077
58,58,2024-02-01 04:50:00+00:00,2024-02-01 04:54:59.999000+00:00,42104.2,42124.0,42076.3,42083.7,498.559,20990245.3274,6955,291.965,12292412.6801
59,59,2024-02-01 04:55:00+00:00,2024-02-01 04:59:59.999000+00:00,42083.6,42083.6,42052.6,42063.6,227.786,9581255.5781,4336,90.685,3814380.9064
60,60,2024-02-01 05:00:00+00:00,2024-02-01 05:04:59.999000+00:00,42063.5,42080.0,42039.9,42047.0,244.198,10269439.369,5343,110.863,4662396.3205
61,61,2024-02-01 05:05:00+00:00,2024-02-01 05:09:59.999000+00:00,42047.9,42073.4,42013.4,42070.7,483.065,20306979.5923,7119,255.458,10739032.4419
62,62,2024-02-01 05:10:00+00:00,2024-02-01 05:14:59.999000+00:00,42070.7,42165.2,42045.1,42137.2,1104.012,46501754.7565,9815,729.094,30709169.286
63,63,2024-02-01 05:15:00+00:00,2024-02-01 05:19:59.999000+00:00,42137.3,42175.0,42130.0,42132.7,757.806,31942913.8267,8391,420.917,17742653.6287
64,64,2024-02-01 05:20:00+00:00,2024-02-01 05:24:59.999000+00:00,42132.4,42198.0,42111.1,42120.0,881.403,37152767.2107,10474,488.947,20612276.2769
65,65,2024-02-01 05:25:00+00:00,2024-02-01 05:29:59.999000+00:00,42119.9,42120.0,42037.5,42045.2,422.209,17763701.6589,6882,121.866,5127424.7629
66,66,2024-02-01 05:30:00+00:00,2024-02-01 05:34:59.999000+00:00,42045.1,42076.3,42031.2,42038.4,393.235,16536159.8999,5957,203.235,8546528.4018
67,67,2024-02-01 05:35:00+00:00,2024-02-01 05:39:59.999000+00:00,42038.4,42104.5,42038.4,42082.0,248.652,10461633.9706,5426,138.903,5843948.1086
68,68,2024-02-01 05:40:00+00:00,2024-02-01 05:44:59.999000+00:00,42082.0,42134.0,42081.1,42087.1,360.15,15167334.9932,6715,180.323,7593849.6792
69,69,2024-02-01 05:45:00+00:00,2024-02-01 05:49:59.999000+00:00,42087.0,42107.9,42087.0,42105.2,140.248,5904173.0272,2842,78.693,3312678.0721
70,70,2024-02-01 05:50:00+00:00,2024-02-01 05:54:59.999000+00:00,42105.1,42134.9,42100.0,42123.3,335.586,14133041.7139,4835,202.458,8526683.376
71,71,2024-02-01 05:55:00+00:00,2024-02-01 05:59:59.999000+00:00,42123.3,42152.1,42122.2,42148.1,337.806,14235644.9802,5374,232.055,9779243.6071
72,72,2024-02-01 06:00:00+00:00,2024-02-01 06:04:59.999000+00:00,42148.0,42170.4,42122.8,42132.8,515.769,21738491.1961,8172,252.916,10660513.7086
73,73,2024-02-01 06:05:00+00:00,2024-02-01 06:09:59.999000+00:00,42132.9,42170.0,42126.3,42137.6,317.687,13389371.438,5119,185.009,7797811.44
74,74,2024-02-01 06:10:00+00:00,2024-02-01 06:14:59.999000+00:00,42137.6,42217.2,42136.8,42188.0,1465.043,61803436.36274,13999,938.103,39573768.21104
75,75,2024-02-01 06:15:00+00:00,2024-02-01 06:19:59.999000+00:00,42188.0,42226.0,42167.6,42170.0,1013.07,42755185.4385,9200,558.057,23552476.7983
76,76,2024-02-01 06:20:00+00:00,2024-02-01 06:24:59.999000+00:00,42170.0,42170.1,42112.0,42141.5,569.935,24012705.9615,8185,172.321,7259726.4923
77,77,2024-02-01 06:25:00+00:00,2024-02-01 06:29:59.999000+00:00,42141.4,42193.4,42120.5,42164.6,513.404,21646311.8421,7414,278.696,11750237.3205
78,78,2024-02-01 06:30:00+00:00,2024-02-01 06:34:59.999000+00:00,42164.6,42185.8,42135.5,42177.8,303.262,12787249.6805,5274,122.482,5164604.7413
79,79,2024-02-01 06:35:00+00:00,2024-02-01 06:39:59.999000+00:00,42177.8,42215.5,42177.8,42211.1,409.227,17268404.8645,7229,248.081,10468483.7854
80,80,2024-02-01 06:40:00+00:00,2024-02-01 06:44:59.999000+00:00,42211.1,42216.6,42188.0,42198.3,389.215,16426382.8838,6350,195.65,8257117.3949
81,81,2024-02-01 06:45:00+00:00,2024-02-01 06:49:59.999000+00:00,42198.3,42208.5,42171.0,42189.6,379.106,15991938.259,5473,179.018,7551747.7415
82,82,2024-02-01 06:50:00+00:00,2024-02-01 06:54:59.999000+00:00,42189.5,42196.6,42164.2,42169.9,192.009,8099365.9493,3267,79.788,3365821.9467
83,83,2024-02-01 06:55:00+00:00,2024-02-01 06:59:59.999000+00:00,42169.9,42185.8,42149.9,42185.8,338.409,14268453.4392,4365,164.092,6919095.0201
84,84,2024-02-01 07:00:00+00:00,2024-02-01 07:04:59.999000+00:00,42185.8,42185.8,42132.8,42151.3,423.997,17872755.534,5510,165.977,6996125.1568
85,85,2024-02-01 07:05:00+00:00,2024-02-01 07:09:59.999000+00:00,42151.4,42154.8,42110.0,42148.1,322.432,13584315.4304,3974,142.671,6010691.2979
86,86,2024-02-01 07:10:00+00:00,2024-02-01 07:14:59.999000+00:00,42148.1,42180.7,42138.8,42166.3,298.672,12593865.5901,4168,150.246,6335381.5593
87,87,2024-02-01 07:15:00+00:00,2024-02-01 07:19:59.999000+00:00,42166.4,42213.5,42166.3,42212.9,460.514,19431221.3873,5315,304.884,12864281.1845
88,88,2024-02-01 07:20:00+00:00,2024-02-01 07:24:59.999000+00:00,42212.8,42228.7,42200.2,42213.5,410.327,17322306.6961,5836,219.451,9264272.8152
89,89,2024-02-01 07:25:00+00:00,2024-02-01 07:29:59.999000+00:00,42213.4,42236.0,42203.9,42222.1,322.602,13621328.5384,5078,170.98,7219547.9103
90,90,2024-02-01 07:30:00+00:00,2024-02-01 07:34:59.999000+00:00,42222.0,42267.5,42200.2,42257.2,691.138,29196514.6767,8978,404.539,17089991.1636
91,91,2024-02-01 07:35:00+00:00,2024-02-01 07:39:59.999000+00:00,42257.2,42276.6,42256.9,42276.6,381.754,16135211.4211,5298,216.122,9134702.5519
92,92,2024-02-01 07:40:00+00:00,2024-02-01 07:44:59.999000+00:00,42276.5,42285.5,42250.9,42265.1,625.075,26422473.616,6324,262.904,11113599.9216
93,93,2024-02-01 07:45:00+00:00,2024-02-01 07:49:59.999000+00:00,42265.0,42292.1,42239.9,42278.7,767.308,32439033.7392,8291,432.859,18300877.4373
94,94,2024-02-01 07:50:00+00:00,2024-02-01 07:54:59.999000+00:00,42278.6,42286.0,42231.4,42243.2,416.514,17602598.315,6338,167.472,7077762.4399
95,95,2024-02-01 07:55:00+00:00,2024-02-01 07:59:59.999000+00:00,42243.1,42248.4,42174.7,42182.2,571.128,24107002.2112,5735,127.431,5378591.4267
96,96,2024-02-01 08:00:00+00:00,2024-02-01 08:04:59.999000+00:00,42182.3,42209.3,42147.7,42209.2,630.664,26594742.8246,7680,293.74,12387802.7474
97,97,2024-02-01 08:05:00+00:00,2024-02-01 08:09:59.999000+00:00,42209.3,42229.4,42146.0,42146.0,378.171,15954292.063,6574,146.543,6183867.1535
98,98,2024-02-01 08:10:00+00:00,2024-02-01 08:14:59.999000+00:00,42146.0,42174.1,42116.6,42118.4,593.288,25002561.4687,8132,210.504,8871814.857
99,99,2024-02-01 08:15:00+00:00,2024-02-01 08:19:59.999000+00:00,42118.5,42154.3,42112.1,42125.8,541.885,22827698.1712,7848,256.517,10805909.207
100,100,2024-02-01 08:20:00+00:00,2024-02-01 08:24:59.999000+00:00,42125.7,42166.9,42118.9,42147.9,239.575,10096944.9876,5881,127.477,5372599.8184
101,101,2024-02-01 08:25:00+00:00,2024-02-01 08:29:59.999000+00:00,42147.9,42185.1,42134.9,42149.0,290.89,12263148.3605,5557,140.0,5902392.5706
102,102,2024-02-01 08:30:00+00:00,2024-02-01 08:34:59.999000+00:00,42148.9,42178.8,42129.0,42172.0,258.425,10893216.0415,3926,124.783,5260134.5159
103,103,2024-02-01 08:35:00+00:00,2024-02-01 08:39:59.999000+00:00,42172.0,42196.3,42159.0,42194.3,349.653,14748734.9437,4388,235.399,9929398.996
104,104,2024-02-01 08:40:00+00:00,2024-02-01 08:44:59.999000+00:00,42194.2,42232.8,42163.4,42227.1,323.76,13662739.6883,4592,230.355,9721859.7921
105,105,2024-02-01 08:45:00+00:00,2024-02-01 08:49:59.999000+00:00,42227.1,42228.1,42162.1,42180.5,322.661,13616538.847,4976,112.934,4765160.4889
106,106,2024-02-01 08:50:00+00:00,2024-02-01 08:54:59.999000+00:00,42180.5,42246.7,42180.5,42224.0,464.076,19597131.5325,6168,275.556,11636249.1575
107,107,2024-02-01 08:55:00+00:00,2024-02-01 08:59:59.999000+00:00,42224.0,42242.8,42203.0,42236.0,241.488,10196234.4259,4609,152.092,6421773.4523
108,108,2024-02-01 09:00:00+00:00,2024-02-01 09:04:59.999000+00:00,42236.0,42259.7,42189.2,42189.2,410.952,17354180.5092,6087,197.195,8328863.3932
109,109,2024-02-01 09:05:00+00:00,2024-02-01 09:09:59.999000+00:00,42189.3,42202.9,42110.7,42145.8,1272.911,53648483.2637,10997,334.035,14078965.1057
110,110,2024-02-01 09:10:00+00:00,2024-02-01 09:14:59.999000+00:00,42145.8,42178.1,42142.7,42178.1,268.542,11321225.8576,4251,100.684,4244866.3485
111,111,2024-02-01 09:15:00+00:00,2024-02-01 09:19:59.999000+00:00,42178.1,42248.0,42177.4,42219.9,444.757,18775129.5873,5757,261.09,11020864.3618
112,112,2024-02-01 09:20:00+00:00,2024-02-01 09:24:59.999000+00:00,42219.8,42244.2,42195.6,42210.9,302.267,12761455.3455,5314,130.628,5514981.8444
113,113,2024-02-01 09:25:00+00:00,2024-02-01 09:29:59.999000+00:00,42210.9,42240.0,42200.0,42207.3,321.457,13569992.3356,4994,128.025,5404165.8317
114,114,2024-02-01 09:30:00+00:00,2024-02-01 09:34:59.999000+00:00,42207.4,42222.0,42150.0,42150.9,263.986,11136008.1253,4767,90.452,3816124.1032
115,115,2024-02-01 09:35:00+00:00,2024-02-01 09:39:59.999000+00:00,42150.8,42188.4,42143.1,42183.2,202.959,8557651.328,3909,114.909,4845044.545
116,116,2024-02-01 09:40:00+00:00,2024-02-01 09:44:59.999000+00:00,42183.3,42200.0,42176.8,42178.4,144.428,6093356.5815,3021,67.833,2861725.0732
117,117,2024-02-01 09:45:00+00:00,2024-02-01 09:49:59.999000+00:00,42178.4,42178.5,42130.0,42161.3,302.072,12732951.9255,5301,134.578,5672847.4912
118,118,2024-02-01 09:50:00+00:00,2024-02-01 09:54:59.999000+00:00,42161.3,42162.2,42125.9,42126.0,317.873,13394702.975,5086,137.811,5807004.7794
119,119,2024-02-01 09:55:00+00:00,2024-02-01 09:59:59.999000+00:00,42126.0,42155.0,42124.9,42141.0,215.795,9092338.0778,3205,101.639,4282525.0619
120,120,2024-02-01 10:00:00+00:00,2024-02-01 10:04:59.999000+00:00,42141.0,42153.4,42110.0,42113.1,382.523,16115706.943,4700,134.286,5657778.4882
